a-bac,backwards
abasshen,abash
abate,down
abaue,confusion
abaye,barking
abbay,abbey
abbesse,abbess
abbod,abbot
abbodesse,abbess
abbot-rice,abbacy
a-b-c,alphabet
a-bernen,burn
abhominacioun,abomination
abhomynable,abominable
a-biden,await
a-biding,expectation
abil,able
abilite,ability
abilȝeit,apparelled
abilȝement,clothing
abit,clothes
a-biten,bite
abject,cast
abjecte,aside
a-blawen,blow
a-blenden,blind
a-bouten,about
a-bouen,above
abregge,abridge
a-breiden,out
a-brode,abroad
abusioun,deceit
a-buȝen,bow
abyme,abyss
accident,accident
accidie,indolence
accompt,account
accompted,accounted
ace,jot
a-cennen,beget
a-cennende,birth
a-cenneng,birth
a-chape,escape
achate,purchase
achate,purchase
achatour,purchaser
ache,pain
ache,parsley
achesoun,motive
achtande,eighth
a-colien,wax
acombren,encumber
acomplesshen,accomplish
acord,agreement
acordaunce,agreement
acorden,reconcile
acounte,calculate
acounte,reckoning
acoupen,accuse
acoyen,tame
a-cursien,curse
acustumaunce,customary
adamant,metal
adaunten,subdue
a-dawe,life
a-dawen,arouse
a-day,morn
addledd,earned
a-diliȝen,perish
a-diȝten,prepare
adlen,earn
admirald,a
admod,gentle
admoded,lowly
admodie,humble
admodliche,humbly
admodnesse,gentleness
a-do,trouble
a-doun,down
a-drad,dread
a-drawen,draw
a-dreden,greatly
a-drenchen,drown
adressen,straight
a-drinken,drowned
a-drye,bear
a-dun,down
a-dunien,din
adun-ward,downward
adversarie,adversary
advertence,mental
advocat,intercessor
ædmod,gentle
ædmodliȝ,humbly
ædmodnisse,humility
æhte,eight
æhtene,eighteen
æness,once
æoure,your
ærd,native
ærfeð-telle,difficult
ærnde,errand
ærnd-race,messenger
ærnen,run
æ-uez,pious
afaiten,prepare
a-fallen,fall
a-fallen,fell
a-felde,afield
a-fellen,fell
a-fer,afar
afere,bustle
a-feren,terrify
a-ferre,afar
affamysit,famished
affectuosly,passionately
affectuouse,affectionate
affray,terror
affrayen,frighten
afile,file
afingret,anhungered
a-flemen,drive
afolen,befool
a-fon,receive
aforce,constrain
a-fore,before
a-forthen,manage
a-fote,foot
afrayen,disturb
a-fright,terrified
after,according
after-clap,consequence
after-del,disadvantage
a-fure,fire
afyrst,athirst
a-gasten,terrify
a-gen,back
agenes,against
agenst,against
a-gessen,calculate
aghe,awe
aghe-ful,awful
a-gon,obtain
a-gon,ago
a-graythen,dress
a-graythinge,apparel
agreable,pleasant
a-gref,grief
agreggen,heavy
agreþed,ready
agreuen,grieve
agrimony,agrimony
a-grisen,terrify
a-grounde,ground
agte,possession
a-gulten,offend
a-honge,hanged
aht,valiant
aht,aught
ahte,possession
ahtlice,valiantly
a-hungerd,ahungered
aihte,property
air,air
airtis,sky
aisille,vinegar
aisliche,timorously
a-kelen,cold
aken,throb
akennet,born
aketoun,quilted
a-kneon,knees
alabastre,alabaster
a-lang,along
alange,tedious
alarge,enlarge
a-last,last
alaun,hunting
alay,alloy
alayen,alloy
albe,priests
albificacioun,alchemy
alblastrye,crossbows
ald,old
al-day,continually
alde-like,solemn
alder,elder
alder,all
alder-best,best
alder-first,first
alder-mon,officer
aldire-,all
aldire-mast,most
ale,ale
a-leggen,lay
alemaunde,almond
alemaunde-tre,almondtree
alembyk,alchemy
a-lemen,illumine
a-lesednesse,redemption
a-lesen,loose
a-lesendnesse,redemption
a-lesnesse,redemption
al-gate,always
algorisme,the
al-halowen,saints
aliance,alliance
a-liche,alike
alien,unite
a-liri,legs
a-liȝten,down
a-liȝten,illuminate
a-liȝtnen,enlighten
al-kaly,alkali
alkamistre,alchemist
al-kamye,medieval
al-karon,the
al-katran,trees
al-kin,every
al-kynd,every
allunge,altogether
allure,parapets
almain,dance
almes-dede,deed
almesse,alms
al-mest,almost
al-miȝt,allpowerful
al-miȝti,almighty
al-miȝtin,almighty
a-lofte,aloft
a-londe,land
al-one,alone
a-longen,long
al-only,merely
a-loofe,aloof
a-losen,praise
al-out,entirely
a-louten,bow
a-low,ground
alowable,praiseworthy
alowaunce,praise
alowen,commend
alowen,bestow
a-loyne,remove
alre,prefix
alre-best,best
alre-fyrst,first
alre-mest,most
als,also
als-as,if
al-so,2
als-tite,immediately
al-suic,such
al-swithe,fast
alther-,all
alther-best,best
alther-feblest,feeblest
alther-first,first
alther-moost,most
al-to,entirely
al-togidere,altogether
al-wat,till
al-weldand,allwielding
al-weye,all
alynen,besmear
a-lyue,alive
a-mad,distracted
amaistrien,teach
amalgame,metal
amalgaming,formation
a-mansien,excommunicate
a-masen,amaze
ambassade,ambassador
ambassadrie,ambassadorship
ambassage,embassy
amblen,pace
amblere,mule
amellen,enamel
amenden,mend
amene,pleasant
amerant,amaranth
amercy,fine
amete,ant
ametist,amethyst
ameuen,moved
a-midde,amid
amirail,a
a-mis,amiss
amome,plant
amoneste,admonish
amonestement,admonishment
amonestyng,admonishing
a-monge,intervals
a-monges,among
a-morewe,morrow
amountance,amount
amounten,rise
ampole,vessel
ampre,flaw
a-murðrin,murder
amyable,friendly
anaunter,chance
anchesoun,occasion
ancre,recluse
and,if
ande,breath
anefeld,anvil
an-ent,opposite
aner-ly,alone
anete,dill
a-netheren,humiliate
anew,wreath
anew,enough
a-newe,anew
anfald,simple
angel,angel
an-gin,beginning
an-ginnen,begin
angle,astrological
angles,the
angre,pain
angren,annoy
angwisch,anguish
anhed,unity
an-heiȝ,high
an-heten,hot
an-heȝen,exalt
an-hitten,hit
an-hon,tr
an-hongen,hang
aniente,bring
anientise,destroy
anise,anise
a-niðerien,humiliate
anker,anchor
anlas,dagger
an-leth,countenance
annamyllit,enamelled
annuel,yearly
annueler,priest
an-on,once
anon-ryght,immediately
an-ouen,above
a-nough,enough
anoy,discomfort
anoyen,annoy
answere,answer
answeren,give
ant,if
antem,anthem
antiphone,antiphon
antiphonere,anthembook
anum,once
an-under,under
an-uppe,upon
an-uppon,upon
anwalde,power
a-nyghte,night
a-nyghtes,nightly
apalled,pale
aparail,apparel
aparailen,dress
aparaunce,appearance
apart,aside
apart,aside
apartie,partly
apayen,please
ape,ape
apece,alphabet
apenden,belong
aperceyue,perceive
aperceyuinges,observations
aperen,appear
apert,expert
apert,open
aperteliche,openly
apertenaunt,appertaining
apertene,appertain
apertinent,appertaining
apesen,appease
apeyren,impair
apeyryng,injuring
a-piken,adorn
aplien,devote
apointen,bring
apointment,agreement
aposen,question
apostel,apostle
apostil-hed,apostle
apotecarie,apothecary
apoyson,poison
appairen,injure
appairing,injuring
appel,apple
apple-garnade,pomegranate
aprentis,apprentice
a-quenchen,quench
aquerne,squirrel
aqueyntaunce,acquaintance
aqueynten,become
arace,roots
aranye,spider
arate,blame
aray,array
arayen,array
arblaste,missiles
arblaster,an
arch,arch
arch-,chief
arch-angel,archangel
arche-biscop,archbishop
archer,archer
archi-deken,archdeacon
archi-flamyn,highpriest
archi-triclin,ruler
arch-wyfe,wife
are,clemency
are,oar
a-recchen,expound
a-rechen,reach
a-reden,interpret
a-redy,ready
are-full,compassionate
are-les,merciless
aren,mercy
aren,are
arende,errand
arerage,arrear
arere,rear
a-reren,raise
a-rest,rest
arest,stop
aresten,stop
aretten,accuse
a-reysen,arouse
areȝth,cowardice
arfeð,difficult
argoile,tartar
arguen,prove
arguere,reasoner
argument,proof
argumenten,argue
a-risen,arise
a-rist,resurrection
ariue,arrive
ariue,landing
a-rixlien,rule
a-riȝt,straightway
ark,ark
ark,circle
arles,earnest
arly,early
arm,arm
arm,wretched
armen,arm
armes,weapons
arm-heorted,tenderhearted
arm-hertnesse,compassion
arminge,arming
armipotent,arms
armony,harmony
armure,weapons
arn,eagle
arnde,ran
a-rode,cross
a-rowe,one
arr,scar
arred,scarred
arsenik,arsenic
arskes,newts
arsmetike,arithmetic
arst,first
art,compass
artou,thou
arwe,arrow
arwe,cowardly
arwed,cowardly
arȝen,frighten
asailen,assail
a-saken,renounce
asaut,assault
ascapie,escape
ascaunce,though
asche,ash
ascrien,cry
ascrive,ascribe
ascry,outcry
asegen,besiege
aselen,seal
a-senchen,sink
asent,assent
aseth,satisfaction
a-setnesse,appointed
a-setten,appoint
asise,decree
asisour,juror
ask,newt
aske,ash
aske-baðie,ashes
aske-fise,ashes
asken,ask
a-slaken,diminish
a-slawe,slain
a-slepe,asleep
a-slepid,sleep
a-sonder,asunder
a-soylen,absolve
aspaltoun,asphalt
aspect,astrology
aspert,expert
aspie,spy
aspien,watch
aspiere,spy
a-spillen,kill
aspiyng,ambush
aspre,rough
asprely,fiercely
a-squint,corner
assay,experiment
assayen,attack
assemble,assembly
assemblen,together
assiduel,continual
assiduelly,continually
assoilen,absolve
assoillyng,acquittal
astate,estate
a-sterten,happen
a-stiȝen,descend
astonen,amaze
astore,repair
a-strangeled,suffocated
astronomye,astronomy
astronomyen,astronomer
asure,azure
aswagen,assuage
a-swelten,die
aswithe,quickly
a-swowne,aswoon
a-syde,aside
at-,1
at-,away
atache,indict
a-take,overtake
atamen,broach
atazir,astrological
at-beren,bear
at-breken,escape
at-bresten,escape
ate,eating
atel,terrible
atelich,horrible
ateliche,horribly
atempre,temperate
atemprely,temperately
a-tenden,kindle
at-ewen,appear
ateynt,convicted
at-fallen,away
at-fleon,flee
at-fore,before
at-gangen,away
ath,oath
athamaunte,adamant
athel,sb
aþeling,royal
a-þestrien,darken
a-þet,until
at-holden,withhold
atiffen,adorn
atisen,stir
atlien,think
atlinge,conjecture
at-reden,outdo
at-rennen,run
at-rinen,befall
at-routen,escape
at-scheoten,shoot
at-stonden,withstand
at-stonden,remain
attame,broach
atteir,attire
atter,venom
atter-coppe,spider
atter-lich,venomous
atter-liche,bitterly
atter-lothe,antidote
attern,venomous
attice,stir
attour,headdress
attri,venomous
a-tweyne,twain
at-witen,reproach
at-witen,depart
a-two,two
a-twynne,apart
atyre,headdress
atyren,attire
auchtene,eighteen
aucte,property
auctoritee,authority
auctour,author
augrim,arithmetic
auh,but
auht,valiant
auhte,possessions
auhte,ought
aul,awl
aulf,elf
aumener,an
aumoner,almoner
auncel,weight
auncessour,ancestor
aunceter,ancestor
auncien,ex
auncre,nun
aunder,afternoon
aunders-meat,collation
aungel,angel
auntour,adventure
auntren,adventure
auntrous,adventurous
auote,foot
auter,altar
autorite,authority
autour,author
auailen,avail
aual,fell
aualen,descend
auaunce,advance
auauncement,advancement
auaunt,forward
avaunt,boast
auauntage,superiority
avaunten,commend
avauntour,boaster
auentaille,helmet
auente,air
auenture,chance
auer,burden
auerous,greedy
a-ulem,drive
auoide,make
avouter,adulterer
avoutrer,adulterer
avoutresse,adulteress
avoutrie,adultery
auowe,vow
avowen,vow
avowen,or
avowry,patron
avoy,remonstrance
auys,advice
auyse,consider
auysely,advisedly
auysement,consideration
auysyon,vision
a-wakenen,awake
a-wakien,awake
a-way,away
awayte,await
awayte,watching
away-ward,wayward
awe,awe
a-wecchen,sleep
a-weden,mad
a-wei,woe
a-welden,control
a-wenden,away
a-wenden,change
a-werien,curse
a-weȝen,weigh
a-winnen,win
awke,perverse
awke-ward,direction
awnen,show
a-wondrien,astonished
a-wreken,avenge
axen,ashes
axen,ask
axer,asker
ayel,forefather
ayen,against
ayen-wende,return
aynd,breath
aynding,smelling
ayr,oar
ay-where,everywhere
a-ȝefen,give
a-ȝein,towards
a-ȝeines,against
a-ȝeinst,against
aȝen,owe
aȝen,own
aȝen,against
aȝen-bien,buy
aȝen-biere,redeemer
aȝen-biyng,redemption
aȝen-clepe,recall
aȝen-fiȝtinge,fighting
aȝen-risyng,resurrection
aȝen-seyen,nay
aȝen-stonden,withstand
aȝen-ward,backward
a-ȝer,year
aȝte,eight
aȝt-sum,eight
baar,bare
babelen,babble
babelyng,babbling
baber-lipped,lips
babishe,babyish
bacheler,bachelor
bachelerie,bachelor
bacin,cymbal
bacinet,helmet
bacoun,bacon
bad,prayed
bad,bade
badde,bad
baddeliche,badly
bade,remained
bagage,dregs
baid,remained
baie,bay
baili,stewardship
baili,steward
baill,sorrow
bair,bare
bairnis,bairns
baiten,feed
bak,back
bak-biten,slander
bak-bitere,backbiter
bak-bitynge,backbiting
baken,bake
bakere,baker
bakestere,baker
balde,encouraged
bale,sorrow
bale-drinch,drink
bale-ful,evil
bale-fully,miserably
balene,whale
bali,grievous
balies,bellies
balke,ridge
balled,bald
ban,bone
band,bound
bane,poison
banere,banner
banere,bannerbearer
baneur,bannerbearer
bank,bank
bannen,curse
bannyng,cursing
ban-wort,bonewort
banyour,bannerbearer
baptym,baptism
bar,bare
barayn,barren
barbarik,barbarian
barbarus,barbarian
barberyns,heathen
barbour,barber
barbre,barbarous
bare,bier
bare,billow
bare,boar
bare,bare
bare,open
barel,barrel
baren,uncover
baret,deceit
bareyne,barren
bareȝ,barrowpig
bargane,combat
barly,barley
barm,bosom
barmkyn,rampart
barmkyn-wall,rampartwall
barn,bairn
barnage,childhood
barnen,burn
barnhede,childhood
barn-site,sorrow
barn-team,offspring
baronage,vassals
baroun,baron
barowe,barrowpig
barrat,confusion
barre,door
barste,burst
baselarde,dagger
basnetes,helmets
bataille,battle
bataillen,fortify
baten,abate
bateren,batter
baþe,both
baþiere,waterpot
batte,bat
battill,pasture
baudekyn,stuff
bauderye,foul
bauderyk,baldric
baudry,baldric
baudy,dirty
baundoun,discretion
bausand,marked
bauson,badger
bawd,bade
bawe-lyne,bowline
baxtere,baker
bay,birds
bayard,horse
bayn,good
bayne,bath
bayske,bitter
be-bedden,bed
beche,valley
be-chece,stifle
bedde,bed
bedde-strawe,couch
bede,prayer
bedel,crier
bede-man,prays
beden,command
bede-sang,prayers
bedred,bedridden
be-drenchen,drench
bed-roll,catalogue
bee,bee
beek,beak
beem,beam
beere,bier
beest,beast
beestli,animal
beeten,beat
bege,collar
beggen,beg
beggere,beggar
beggestere,beggar
be-grime,smear
beiȝ,collar
bek,brook
bekken,nod
beknen,beckon
bel,beautiful
belde,shelter
belde,blustering
belden,build
beldinge,building
belle,bell
bellyche,beautifully
belt,built
bely,bellows
bely-ioye,appetite
belȝen,swell
bemare,trumpeter
beme,trumpet
bemen,trumpet
bemyng,bees
ben,be
benche,bench
benched,benches
bend,bond
benden,bend
bene,prayer
bene,pleasant
benefet,benefit
bent,coarse
bent,grassy
beode,pray
berd,beard
bere,beer
bere,noise
bere,bear
bere,bier
bere,barley
bere-lepe,basket
beren,bear
beren,noise
bergh,hill
beriall,blueishgreen
berie,berry
berien,pierce
beril,beryl
beringe,birth
berken,bark
berkere,watchdog
berkyng,barking
berme,harm
bern,man
bern,barn
bernacle,snaffle
bernake,horse
bernake,barnacle
bernen,burn
bersten,burst
berstles,bristles
berȝen,preserve
besaunt,coin
be-slombred,dirtied
besme,rod
best,best
beste,advantage
be-steriinge,emotion
be-swapen,convicted
bet,better
betaken,betoken
beten,amend
beten,beat
be-thenchinge,meditation
beuer,beaver
beyde-roule,prayers
beye,buy
beye,both
beyer,both
beyn,pliant
bi-,be
bi-bled,blood
bi-burien,bury
bi-cacchen,ensnare
bi-callen,accuse
bi-cause,because
bicche,bitch
bicched,meaning
bi-chermen,scream
bi-cherren,mislead
bi-clappen,lay
bi-clarten,defile
bi-clepien,accuse
bi-clippen,embrace
bi-clusen,enclose
bi-colmen,blacken
bi-comen,befall
bi-cumelich,comely
bi-daffed,befooled
bidden,beg
biddere,asker
biddinge,prayer
biden,bide
bidene,together
bi-draueled,grease
bie,collar
biennales,biennials
bierne,man
bi-fallen,befall
bi-flen,fly
bi-fleten,flow
bi-foren,before
big,big
biggen,dwell
biggen,buy
biggere,buyer
bi-gilen,beguile
bi-ginnen,begin
bi-gon,surrounded
bi-greden,cry
bi-gripen,seize
bi-growe,overgrown
bi-grucchen,begrudge
bi-gurdel,purse
bi-gynandly,beginning
bi-hangen,clothe
bi-healde,behold
bi-heden,behead
bi-heste,promise
bi-heten,promise
bi-heue,profitable
bi-hinde,behind
bi-holden,behold
bi-houe,advantage
bi-houely,necessary
bi-houeþ,needs
bi-huden,hide
bi-iapen,deceive
bikenen,beckon
bi-kennedd,begotten
bi-kennen,commend
biker,fight
bikeren,fight
bi-knowen,acknowledge
bilæde,enclosed
bilæuen,remain
bild,building
bilden,build
bi-leden,treat
bi-lefful,believing
bi-leggen,explain
bi-leue,belief
bi-leuen,believe
bi-leuen,forsake
bi-leuen,remain
bilfoder,sustenance
bi-liggen,belong
bi-likien,pleasing
bi-limpen,belong
bi-linnen,cease
bi-liue,quickly
bi-liue,sustenance
bi-liuen,live
bille,papal
bille,beak
billen,peck
billet,firewood
bi-loken,regard
bi-luken,enclose
