abasshen,abash
abbay,abbey
abbesse,abbess
abbod,abbot
abbodesse,abbess
abbot-rice,abbacy
a-bernen,burn
abhominacioun,abomination
abhomynable,abominable
abil,able
abilite,ability
a-biten,bite
a-blawen,blow
a-blenden,blind
a-bouten,about
a-bouen,above
abregge,abridge
a-brode,abroad
abyme,abyss
accident,accident
accompt,account
accompted,accounted
a-chape,escape
acombren,encumber
acomplesshen,accomplish
acoupen,accuse
a-cursien,curse
acustumaunce,customary
a-doun,down
a-drad,dread
a-drawen,draw
a-dunien,din
adun-ward,downward
adversarie,adversary
æoure,your
ærnen,run
a-fallen,fall
a-fallen,fell
a-felde,afield
a-fellen,fell
a-fer,afar
a-ferre,afar
affectuouse,affectionate
afile,file
afingret,anhungered
a-fore,before
a-fure,fire
afyrst,athirst
agenst,against
aghe,awe
aghe-ful,awful
a-gon,ago
a-gref,grief
agreuen,grieve
agrimony,agrimony
a-grounde,ground
a-honge,hanged
a-hungerd,ahungered
air,air
a-kneon,knees
alabastre,alabaster
a-lang,along
alarge,enlarge
a-last,last
alay,alloy
ald,old
alder,elder
alder,all
alder-best,best
alder-first,first
ale,ale
alemaunde,almond
alemaunde-tre,almondtree
alembyk,alchemy
al-gate,always
aliance,alliance
a-liche,alike
a-liȝtnen,enlighten
al-kaly,alkali
alkamistre,alchemist
almesse,alms
al-mest,almost
al-miȝti,almighty
al-miȝtin,almighty
a-lofte,aloft
a-londe,land
al-one,alone
a-longen,long
a-loofe,aloof
alre-best,best
alre-fyrst,first
als,also
alther-best,best
alther-feblest,feeblest
alther-first,first
al-togidere,altogether
al-weldand,allwielding
a-lyue,alive
a-masen,amaze
ambassade,ambassador
ambassadrie,ambassadorship
ambassage,embassy
amblere,mule
amenden,mend
amerant,amaranth
amete,ant
ametist,amethyst
a-midde,amid
a-mis,amiss
amoneste,admonish
amonestement,admonishment
amonestyng,admonishing
a-monges,among
a-morewe,morrow
amountance,amount
anaunter,chance
anefeld,anvil
a-newe,anew
angel,angel
angwisch,anguish
anise,anise
anker,anchor
annamyllit,enamelled
an-ouen,above
a-nough,enough
anoyen,annoy
answere,answer
antem,anthem
antiphone,antiphon
an-under,under
an-uppon,upon
a-nyghte,night
a-nyghtes,nightly
apalled,pale
aparail,apparel
aparaunce,appearance
apartie,partly
ape,ape
aperceyue,perceive
apert,expert
apert,open
apertenaunt,appertaining
apertene,appertain
apertinent,appertaining
apesen,appease
apeyryng,injuring
apointment,agreement
apostel,apostle
apostil-hed,apostle
apotecarie,apothecary
apoyson,poison
appairing,injuring
appel,apple
apple-garnade,pomegranate
aprentis,apprentice
a-quenchen,quench
aquerne,squirrel
aqueyntaunce,acquaintance
arate,blame
aray,array
arayen,array
arch,arch
arch-angel,archangel
