абидныи,обидный
аблань,яблоня
абланьныи,яблоневый
аблъко,яблоко
абрѣдиѥ,актиды
абрѣдь,акрида
авва,отец
августьныи,августный
авдономъ,самодержец
авъгаръ,авгар
авъгустъ,август
авьныи,явный
авѣ,явно
агиосъ,святой
агнъ,овен
агньць,ягненок
агньчь,ягнячий
агнѧ,ягненок
агнѧдиѥ,чернотополье
агода,ягода
агодичина,смоковница
агодичиѥ,смоковие
адамантинъ,алмазный
адамантовъ,алмазный
адамантъ,алмаз
адамасъ,алмаз
адениѥ,питание
адли,наконец
адовнии,адовый
адонаи,господь
адрила,ветрила
адрякъ,имбирь
адъвъ,адовый
адь,пища
адьскыи,адский
аерьныи,воздушный
аерьскыи,воздушный
аже,которая
азамыслиѥ,замысел
азбуковия,алфавит
азвѣди,азбука
азно,кожа
азумъ,опреснок
азъ,я
азъбукъвьныи,азбучный
аирода,аирода
аице,яйцо
акиань,океан
акинтъ,гиацинт
акорысь,акорысь
акрида,саранча
акрогонии,угольный
акротома,твердый
аксамитныи,аксамитный
актазъ,мерин
акъ,как
акы,как
акыи,какой
алавастрьныи,алавастровый
алаксатисѧ,облачаться
аламъ,нагрудье
алафа,награда
алачюга,лачуга
алекторъ,петух
алмазъ,алмаз
алнь,лань
алои,алоэ
алоинъ,алойный
алтабасныи,алтабасный
алфа,альфа
алфавитъ,словарь
алъкота,голод
алънищь,лошак
алъчия,голод
алъчь,пост
алъчьновати,голодать
алъчьныи,голодный
алыи,яркий
ама,яма
амагиль,амагиль
амафоръ,покрывало
аметусонъ,аметист
амини,аминь
аммасии,драги
амо,куда
амъфигоуи,амфигуи
анагностьскыи,анагностический
анагностьство,чтение
аналогии,аналогичный
анаѳема,проклятие
анбаръ,амбар
ангеловъ,ангельский
ангелолѣпьныи,ангелоподобный
ангелъ,ангел
ангельнѣи,ангельский
ангельскыи,ангельский
анкура,якорь
антипатъ,антипат
антихрищь,антихристный
анфраксъ,рубин
аньхимандритъ,архимандрит
анѳемъ,цветок
априлии,апрель
априль,апрель
ареи,марс
аригъ,вретище
арижьныи,арижный
аркобузъ,самопал
армеа,рассол
армячныи,армячный
ароматъ,благовоние
архангеловъ,архангелов
архистратигъ,воевода
архитриклинъ,стольник
аспидовъ,аспидный
аспидъ,яшма
аспидьныи,аспидный
астрологъ,звездочет
астрономия,астрономия
асьныи,ясный
аугустъ,август
афира,кисель
ахатъ,агат
ахикъ,сердолик
ашуть,тщетно
бааникъ,ворожея
бабии,бабий
бабинъ,бабий
бабогуръ,агат
багроватисѧ,багриться
багряница,багряница
багряныи,червленый
багъно,грязь
