абидныи,обидный
аблань,яблоня
абланьныи,яблоневый
аблъко,яблоко
абрѣдь,акрида
августьныи,августный
авъгаръ,авгар
авъгустъ,август
авьныи,явный
агода,ягода
адамантъ,алмаз
адамасъ,алмаз
адовнии,адовый
адрила,ветрила
адъвъ,адовый
адьскыи,адский
азамыслиѥ,замысел
азъбукъвьныи,азбучный
аирода,аирода
акиань,океан
акорысь,акорысь
аксамитныи,аксамитный
алавастрьныи,алавастровый
алаксатисѧ,облачаться
алачюга,лачуга
алмазъ,алмаз
алнь,лань
алои,алоэ
алоинъ,алойный
алтабасныи,алтабасный
алфа,альфа
ама,яма
амагиль,амагиль
аметусонъ,аметист
амини,аминь
амъфигоуи,амфигуи
анагностьскыи,анагностический
аналогии,аналогичный
анбаръ,амбар
ангеловъ,ангельский
ангелолѣпьныи,ангелоподобный
ангелъ,ангел
ангельнѣи,ангельский
ангельскыи,ангельский
антипатъ,антипат
антихрищь,антихристный
аньхимандритъ,архимандрит
априлии,апрель
априль,апрель
арижьныи,арижный
армячныи,армячный
архангеловъ,архангелов
аспидовъ,аспидный
аспидьныи,аспидный
астрономия,астрономия
асьныи,ясный
аугустъ,август
ахатъ,агат
бабии,бабий
бабинъ,бабий
багроватисѧ,багриться
багряница,багряница
баинѧ,баня
бальныи,банный
бальство,лекарство
баньныи,банный
баньскыи,банный
баньчия,банная
баня,баня
банѧ,баня
бархатити,бархатить
бархатъ,бархат
басмакъ,баскак
басманникъ,басманник
башмакъ,башмак
башьнѧ,башня
бебръ,бобр
безаконениѥ,беззаконие
безакониѥ,беззаконие
безаконьникъ,беззаконник
безаконьница,беззаконница
безаконьно,незаконно
безаконьновати,беззаконствовать
безаконьныи,незаконный
безаконьнѣ,незаконно
безаконьство,беззаконие
безблагодатьныи,неблагодарный
безблагодьникъ,неблагодарный
безблазньныи,несоблазняемый
безблудьно,безошибочно
безбогъ,безбожный
безбожьникъ,безбожник
безбожьныи,безбожный
безбожьскыи,безбожный
безбожьствиѥ,безбожность
безболѣзньныи,безболезненный
безбоязньныи,безбоязненный
безбоязньство,безбоязность
безбрадьнъ,безбородый
безбрачьныи,безбрачный
безбѣдныи,безопасный
безверемѧ,безвременье
безвещьныи,беззаботный
безвещьствьныи,невещественный
безвиньныи,невинный
безводьныи,безводный
безврѣменьнѣ,безвременный
безвѣриѥ,неверие
безвѣрьныи,неверный
безвѣчьныи,увечный
безглавьныи,безголовый
безглагольныи,безмолвный
безгласьно,безгласно
безгласьныи,безгласный
безгнѣвьливыи,безгневный
безгнѣвьныи,безгневный
безгодьниѥ,безгодность
